year,month,season,reading_kwh,day_length_hour,e_grid_expt_kwh,sunshine_hrs_per_day
2011,aug,summer,369.2,14.57,435.2,4.6
2011,sep,fall,351.1,12.65,312.5,5.4
2011,oct,fall,221.3,10.67,221.7,4.5
2011,nov,fall,118.8,8.9,123.8,1.8
2011,dec,winter,91.7,7.93,74.1,2
2012,jan,winter,136.6,8.42,104,2.2
2012,feb,winter,99.6,9.99,168.7,2.9
2012,mar,spring,494.3,11.93,262.1,6
2012,apr,spring,307.8,13.92,385.2,4.5
2012,may,spring,461.6,15.65,464.7,5.7
2012,jun,summer,411.1,16.56,453.9,4
2012,jul,summer,445.3,16.08,480.8,5.4
2012,aug,summer,473.1,14.57,435.2,5.9
2012,sep,fall,326.8,12.65,312.5,6
2012,oct,fall,188.9,10.67,221.7,2.8
2012,nov,fall,118.2,8.9,123.8,2.5
2012,dec,winter,59.4,7.93,74.1,1.9
2013,jan,winter,94.9,8.42,104,1.1
2013,feb,winter,153.3,9.99,168.7,2.3
2013,mar,spring,169.5,11.93,262.1,2.1
2013,apr,spring,445,13.92,385.2,5.4
2013,may,spring,459.3,15.65,464.7,5.2
2013,jun,summer,459.3,16.56,453.9,5.3
2013,jul,summer,530.8,16.08,480.8,8.7
2013,aug,summer,465.3,14.57,435.2,6.5
2013,sep,fall,224.7,12.65,312.5,4
2013,oct,fall,159.9,10.67,221.7,2.9
2013,nov,fall,93.1,8.9,123.8,2.7
2013,dec,winter,101.8,7.93,74.1,1.7
2014,jan,winter,98.5,8.42,104,2.2
2014,feb,winter,151.3,9.99,168.7,3.4
2014,mar,spring,360.5,11.93,262.1,5.2
2014,apr,spring,405.8,13.92,385.2,5.2
2014,may,spring,464,15.65,464.7,5.8
2014,jun,summer,622.4,16.56,453.9,7.3
2014,jul,summer,407.7,16.08,480.8,7.9
2014,aug,summer,383.5,14.57,435.2,5.9
2014,sep,fall,307.7,12.65,312.5,4.5
2014,oct,fall,201.8,10.67,221.7,3.2
2014,nov,fall,99.6,8.9,123.8,1.7
2014,dec,winter,101.4,7.93,74.1,2.3
2015,jan,winter,111,8.42,104,2
2015,feb,winter,151.5,9.99,168.7,2.6
2015,mar,spring,310,11.93,262.1,4.5
2015,apr,spring,446.5,13.92,385.2,6.9
2015,may,spring,462.9,15.65,464.7,6.1
2015,jun,summer,513,16.56,453.9,6.6
2015,jul,summer,448.1,16.08,480.8,6.1
2015,aug,summer,348.2,14.57,435.2,4.3
2015,sep,fall,345.6,12.65,312.5,5.4
2015,oct,fall,197.2,10.67,221.7,3
2015,nov,fall,82,8.9,123.8,0.9
2015,dec,winter,54.6,7.93,74.1,1
2016,jan,winter,121.2,8.42,104,1.8
2016,feb,winter,127.1,9.99,168.7,3
2016,mar,spring,289.8,11.93,262.1,4
2016,apr,spring,430.5,13.92,385.2,5.7
2016,may,spring,433.9,15.65,464.7,6.2
2016,jun,summer,421.1,16.56,453.9,3.4
2016,jul,summer,421.1,16.08,480.8,5.9
2016,aug,summer,467.8,14.57,435.2,6.5
2016,sep,fall,303,12.65,312.5,4.1
2016,oct,fall,228,10.67,221.7,3.4
2016,nov,fall,157,8.9,123.8,2.6
2016,dec,winter,65.6,7.93,74.1,1.8
2017,jan,winter,86.1,8.42,104,2.1
2017,feb,winter,139.7,9.99,168.7,1.7
2017,mar,spring,307.4,11.93,262.1,3.8
2017,apr,spring,431.3,13.92,385.2,6.2
2017,may,spring,416.8,15.65,464.7,5.3
2017,jun,summer,527.4,16.56,453.9,6.6
2017,jul,summer,431.8,16.08,480.8,5.7
2017,aug,summer,410.2,14.57,435.2,5.3
2017,sep,fall,320.2,12.65,312.5,4
2017,oct,fall,203.1,10.67,221.7,2.8
2017,nov,fall,121.9,8.9,123.8,2.2
2017,dec,winter,90.6,7.93,74.1,1.4
2018,jan,winter,97.3,8.42,104,1.5
2018,feb,winter,168,9.99,168.7,3.3
2018,mar,spring,179.8,11.93,262.1,2.3
2018,apr,spring,368.6,13.92,385.2,3.8
2018,may,spring,444.7,15.65,464.7,8
2018,jun,summer,541.6,16.56,453.9,7.8
2018,jul,summer,526.3,16.08,480.8,8.8
2018,aug,summer,512.3,14.57,435.2,5.9
2018,sep,fall,309.2,12.65,312.5,6.4
2018,oct,fall,223.3,10.67,221.7,4.4
2018,nov,fall,113.7,8.9,123.8,2.4
2018,dec,winter,56,7.93,74.1,1.3
2019,jan,winter,109.5,8.42,104,1.8
2019,feb,winter,211.4,9.99,168.7,4.3
2019,mar,spring,226.1,11.93,262.1,4
2019,apr,spring,404.1,13.92,385.2,5.7
2019,may,spring,487.6,15.65,464.7,5.3
2019,jun,summer,429.9,16.56,453.9,5.7
2019,jul,summer,455.4,16.08,480.8,6.1
2019,aug,summer,443,14.57,435.2,6.5
2019,sep,fall,309.2,12.65,312.5,5.2
2019,oct,fall,205.1,10.67,221.7,2.4
2019,nov,fall,129.1,8.9,123.8,1.7
2019,dec,winter,88,7.93,74.1,1.8
2020,jan,winter,84.6,8.42,104,1.6
2020,feb,winter,157.9,9.99,168.7,2.1
2020,mar,spring,354.8,11.93,262.1,4.9
2020,apr,spring,473.1,13.92,385.2,7.8
2020,may,spring,606.6,15.65,464.7,10
2020,jun,summer,520,16.56,453.9,5.8
2020,jul,summer,385,16.08,480.8,5.5
2020,aug,summer,380.2,14.57,435.2,5.2
2020,sep,fall,358.6,12.65,312.5,5.6
2020,oct,fall,155.4,10.67,221.7,1.7
2020,nov,fall,109.6,8.9,123.8,1.5
2020,dec,winter,65.6,7.93,74.1,1.2
